1,catalogue-img/HTMLCSSJS.jpg,"HTML,CSS, and JS for Web Developers",6,"In this course, we will learn the basic tools that every web page coder needs to know. We will start from the ground up by learning how to implement modern web pages with HTML and CSS. We will then advance to learning how to code our pages such that its c",3500
2,catalogue-img/Full-Website-WordPress.jpg,Build Full Website using WordPress,3,"By the end of this project, you will create a full web-site that is attractive and user friendly using a free content management system, WordPress. You will learn how to create a website utilizing themes and plug-ins using the web creation tool. You’ll ha",2500
4,catalogue-img/JS ES6 Basics.jpg,Modern JavaScript: ES6 Basics,4,"In this project, you'll learn the most fundamental ES6 features and practice them with live hands-on examples. You'll start writing modern JavaScript and really understand why we need ES6.Mastering modern JavaScript starts with understanding the reasoning",2500
5,catalogue-img/JS jQuery and JSON.jpg,"JavaScript, jQuery and JSON",1,"In this course, we'll look at the JavaScript language, and how it supports the Object-Oriented pattern, with a focus on the unique aspect of how JavaScript approaches OO. We'll explore a brief introduction to the jQuery library, which is widely used to do",5000
6,catalogue-img/MySQL with PHP.jpg,Using MySQL Database with PHP,4,"1)Using PDO to access an SQL-based database with PHP
2)Using MySQLi to access a MySQL database with PHP",3000
7,catalogue-img/Django.jpg,Django for Everybody,1,"This specialization introduces Python programmers to building websites using the Django library. Across the four courses, you will learn HTML, CSS, SQL, Django, JavaScript, jQuery, and JSON Web Services.  During the course, you will build online websites ",4000
8,catalogue-img/Wordpress Website in Azure.jpg,Deploy a Wordpress Website in Microsoft Azure,3,"In this one hour project, you will learn how to use Microsoft Azure Cloud Platform and its compute services to host and deploy a WordPress Website. WordPress is a world-class content management platform to create websites, blogs, e-learning systems, and o",3500
9,catalogue-img/Web Applications.jpg,Web Applications for Everybody,1,"This Specialization is an introduction to building web applications for anybody who already has a basic understanding of responsive web design with JavaScript,  HTML, and CSS. Web Applications for Everybody is your introduction to web application developm",4500
10,catalogue-img/b3523dbdeaa7432.ico,Build an Automobile Listing Website with PHP ,2,"In this 1.5 hours guided project, you will quickly get up to speed with the fundamentals of PHP and build a functional, dynamic website at the end. No prior knowledge of PHP is required but basic to intermediate HTML is required as a prerequisite.",6400
11,catalogue-img/Dynamic Web App.jpg,Building a Dynamic Web App using PHP & MySQL,3,"In this 1-hour long project-based course, you will learn how to create a simple note-taking web app using PHP and MySQL.  PHP and MySQL enable developing powerful dynamic web pages and applications. They are some of the most widely used technologies in th",2500
12,catalogue-img/Introduction to RDB.jpg,Introduction to Relational Database and SQL,2,"In this guided project, you will get hands-on experience working with a relational database using MySQL Workbench from Oracle. The basic knowledge you learn will allow you to work with any other relational database.At the end of this project, you will be ",3500
13,catalogue-img/Introduction to SQL.jpg,Introduction to SQL,1,"In this course, you'll walk through installation steps for installing a text editor, installing MAMP or XAMPP (or equivalent) and creating a MySql Database. You'll learn about single table queries and the basic syntax of the SQL language, as well as datab",4000
14,catalogue-img/Web Application Development.jpg,Web Application Development:Basic Concepts,4,"This is the first course in a Coursera Specialization track involving Web Application Architectures.  This course will give you the basic background, terminology and fundamental concepts that you need to understand in order to build modern full stack web ",3500
15,catalogue-img/Wordpress Website AWS EC2.jpg,Deploy a Wordpress Website in AWS EC2,2,"In this two hours project, you will learn how to use Amazon Web Services EC2 compute services to host and deploy a WordPress Website. WordPress is a world-class content management platform to create websites, blogs, e-learning systems, and others. Once yo",4000
16,catalogue-img/SQL Basics for DS.jpg,Learn SQL Basics for Data Science,2,"This Specialization is intended for a learner with no previous coding experience seeking to develop SQL query fluency. Through four progressively more difficult SQL projects with data science applications, you will cover topics such as SQL basics, data wr",5000
17,catalogue-img/PHP DB Connectivity.jpg,Learn PHP Database Connectivity,4,"In this 1.5-hours long project-based course, you will (Learn PHP database connectivity , Build Web pages with back-end database).You will learn PHP database connectivity functions , how to connect into a back-end database, how to insert data into a databa",3000
18,catalogue-img/Web Design.jpg,WebDesign:Basics of Web Development,2,"This Specialization covers how to write syntactically correct HTML5 and CSS3, and how to create interactive web experiences with JavaScript. Mastering this range of technologies will allow you to develop high quality web sites that, work seamlessly on mob",4000
19,catalogue-img/DB Applications in PHP.jpg,Building Web Applications in PHP,3,"In this course, you'll explore the basic structure of a web application, and how a web browser interacts with a web server. You'll be introduced to the request/response cycle, including GET/POST/Redirect. You'll also gain an introductory understanding of ",3500
38,catalogue-img/no_img.png,fox-34,1,very very new,1111
42,catalogue-img/no_img.png,Introduction to PHP,3,New course about PHP,2600
74,catalogue-img/bf99d3363e41fe5.ico,erroe,1,kldgigruiprgio,2344
126,catalogue-img/2878b77049eb354.ico,New about PHP,1,-----------------------,1600
